Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,3,noisy_unlearnable,True,True,3.2254945726750957,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,4,piecewise_linear,True,False,3.645513743596256,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,5,cubic,True,False,0.7347389374397557,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,6,piecewise_linear,True,False,3.709697569491956,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,7,piecewise_linear,True,False,2.0061284033534155,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,8,sine,True,False,1.132311819221736,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,9,noisy_unlearnable,True,True,3.414554913676555,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5390,0,noisy_unlearnable,True,True,0.7291968744570915,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5390,1,noisy_unlearnable,True,True,1.516310746097594,50,blocked_noisy
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5390,2,cubic,True,False,0.16085637190682595,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5390,3,quadratic,True,False,0.642559996776383,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,0,piecewise_linear,True,False,0.920913409249911,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,1,piecewise_linear,True,False,1.7514709888314837,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,2,piecewise_linear,True,False,2.4832273135120606,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,3,noisy_unlearnable,True,True,3.010509461962847,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,4,piecewise_linear,True,False,3.544872699239073,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,5,linear,True,False,0.0015797591782767783,50,learning
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,6,cubic,True,False,1.3996434114749814,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5191,7,noisy_unlearnable,True,True,5.051951394189859,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,0,sine,True,False,3.597519724817949,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,1,sine,True,False,4.762644577680093,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,2,noisy_unlearnable,True,True,3.64382267886118,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,3,piecewise_linear,True,False,0.003940001423398876,50,learning
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,4,noisy_unlearnable,True,True,2.9764947907234487,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,5734,5,noisy_unlearnable,True,True,3.149036204357039,0,unexplored
